"tipo_evento";"rastreador_numero_serie";"rastreador_fabricante";"rastreador_versao_hardware";"rastreador_bateria_interna_ativa";"rastreador_bateria_interna_conectada";"rastreador_bateria_interna_tensao";"numero_sequencial";"data_hora_evento";"data_hora_recebimento";"data_hora_armazenamento";"gps_fixado";"gps_numero_satelites";"gps_hdop";"gps_latitude";"gps_longitude";"gps_velocidade";"gps_proa";"gps_altitude";"gps_odometro";"gps_antena_conectada";"gps_velocidade_media";"gps_relacao_sinal_ruido";"gps_odometro_can";"gsm_sinal";"gsm_qualidade_sinal";"bateria_externa_ativa";"bateria_externa_conectada";"bateria_externa_tensao";"ignicao";"ignicao_virtual";"bloqueador";"revgeo_resultado";"revgeo_logradouro";"revgeo_faixa_numeracao";"revgeo_cep";"revgeo_municipio";"revgeo_uf";"revgeo_pais";"revgeo_pavimentoTipo";"revgeo_velocidade_maxima_via";"revgeo_municipio_id";"posicao_online";"rpm";"horimetro";"velocidade_maxima";"tempo_velocidade_maxima";"dados_aceleracao_movendo";"dados_aceleracao_estado_acelerometro";"1-erbs_cellid";"1-erbs_bsic";"1-erbs_rssi";"1-erbs_ta";"1-erbs_lac";"1-erbs_mcc";"1-erbs_mnc";"sensor_chuva";"ultimo_motorista_identificado_serial";"ultimo_motorista_identificado_identificador";"ultimo_motorista_identificado_data_identificacao";"pontosMaisProximos_Endereco";"pontosMaisProximos_Nome";"jamming";"emergencia_por_comando";"raw_package";"emergencia";"velocidade_acima_do_limite";"motor_ligado";"rpm_faixa_azul";"rpm_faixa_vermelha";"banguela";"maxio_serial";"conectado_can";"1-portas_equipamento_porta";"1-portas_numero_porta";"1-portas_tipo_portas";"1-portas_valor_entrada";"2-portas_equipamento_porta";"2-portas_numero_porta";"2-portas_tipo_portas";"2-portas_valor_entrada";"3-portas_equipamento_porta";"3-portas_numero_porta";"3-portas_tipo_portas";"3-portas_valor_entrada";"4-portas_equipamento_porta";"4-portas_numero_porta";"4-portas_tipo_portas";"4-portas_valor_entrada";"5-portas_equipamento_porta";"5-portas_numero_porta";"5-portas_tipo_portas";"5-portas_valor_entrada";"6-portas_equipamento_porta";"6-portas_numero_porta";"6-portas_tipo_portas";"6-portas_valor_entrada";"7-portas_equipamento_porta";"7-portas_numero_porta";"7-portas_tipo_portas";"7-portas_valor_entrada";"8-portas_equipamento_porta";"8-portas_numero_porta";"8-portas_tipo_portas";"8-portas_valor_entrada";"9-portas_equipamento_porta";"9-portas_numero_porta";"9-portas_tipo_portas";"9-portas_valor_entrada";"trafego_dados_can";"dadosCan_lim_parab";"dadosCan_consumo_comb";"faixas_rpm_intervalo_faixa_azul";"faixas_rpm_intervalo_faixa_verde";"faixas_rpm_intervalo_faixa_amarela";"faixas_rpm_intervalo_faixa_vermelha";"faixas_rpm_quatidade_faixa_vermelha";"faixas_rpm_rpm_maximo";"faixas_rpm_rpm_medio"
"POSICAO";"1308972028";"MAXTRACK";"MXT-130";"true";"true";"4.108";"466517";"23/07/2025 11:59:02";"23/07/2025 11:59:02";"23/07/2025 11:59:03";"true";"11";"8";"-25.488825";"-49.290382";"0";"329.0";"958";"4511";"true";"0";"31";"0";"false";"22";"true";"true";"12.751";"true";"false";"false";"ENCONTRADO";"Rua Maria Trevisan Tortato";"245-355";"81020000";"Curitiba";"PR";"BR";"Urbano";"60";"4005";"true";"0";"629628.0";"0";"0";"false";"AST_NONE";"14910";"-1";"0";"255";"1241";"724";"5";"true";"1308972028";"000013164841";"1753282742000";"";"Casa";"false";"false";"55AA55AA0002749C0100000008FCA795F00410A1CFABA0061A02600E22E70308D5BC1C104818B6F183C4062216080010011DCDB6CEF02553E29EE228BE07300638C9022A171003180B2808300E3811400048015001581F680288010032280801120208011A020802221C080110A9F3D387041801220A080220023801500F68012A04080118023A450A22080110CF6318052064288C203000380148B68D02509CDD095885A6D7016809800103121708011000201630013A0B08D405100518D90920BE7448021A06080010001800428D020A23080010011800200028FCB6265000900100980100A00100A80100B00100B80100C8010012090800109F23180020001A0808001000180020002206080010001800320218004AA80128007AA30108001000180020002800300038004000480058006000680070007800800100880100900100980100A00100A80100B00100B80100C00100C80100D00100D80100E00100E80100F00100F80100800200880200900200980200A00200A80200B00200B80200C00200C80200D00200D80200E00200E80200F00200F80200800300880300900300980300A00300A80300B00300B80300C00300C80300D00300D80300E00300521A08092A160800100048006DCDB6CEF07553E29EE27898F183C406621408A9F3D38704188DAF04206628B6F183C40660016A0808A9C2A30618B6098201060A0408001000";"false";"false";"false";"false";"false";"false";"1089796521";"false";"ACESSORIO";"1";"ENTRADA";"IST_DIGITAL_LOW";"ACESSORIO";"2";"ENTRADA";"IST_DIGITAL_LOW";"ACESSORIO";"3";"ENTRADA";"IST_DIGITAL_HIGH";"ACESSORIO";"4";"ENTRADA";"IST_WINDSHIELD_WIPERS";"ACESSORIO";"5";"ENTRADA";"IST_DIGITAL_HIGH";"ACESSORIO";"1";"SAIDA";"OS_HIGH";"ACESSORIO";"2";"SAIDA";"OS_LOW";"RASTREADOR";"1";"ENTRADA";"IST_DIGITAL_HIGH";"RASTREADOR";"1";"SAIDA";"OS_LOW";"CBR_NONE";"false";"0";"";"";"";"";"";"";""
"POSICAO";"1308972028";"MAXTRACK";"MXT-130";"true";"true";"4.108";"466516";"23/07/2025 11:58:32";"23/07/2025 11:58:32";"23/07/2025 11:58:34";"true";"10";"9";"-25.488825";"-49.290382";"0";"329.0";"958";"4511";"true";"0";"35";"0";"false";"22";"true";"true";"12.753";"true";"false";"false";"ENCONTRADO";"Rua Maria Trevisan Tortato";"245-355";"81020000";"Curitiba";"PR";"BR";"Urbano";"60";"4005";"true";"0";"629598.0";"0";"0";"false";"AST_NONE";"14910";"-1";"0";"255";"1241";"724";"5";"true";"1308972028";"000013164841";"1753282712000";"";"Casa";"false";"false";"55AA55AA0002EBC30100000008FCA795F00410FEBBF9E4041A02600E22E70308D4BC1C10481898F183C4062216080010011DCDB6CEF02553E29EE228BE07300738C9022A171003180A2809301138134000480150015823680288010032280801120208011A020802221C080110A9F3D387041801220A080220023801500F68012A04080118023A450A22080110D16318052064288C203000380148898D0250FEDC095885A6D7016809800103121708011000201630013A0B08D405100518D90920BE7448021A06080010001800428D020A23080010011800200028DEB6265000900100980100A00100A80100B00100B80100C8010012090800109F23180020001A0808001000180020002206080010001800320218004AA80128007AA30108001000180020002800300038004000480058006000680070007800800100880100900100980100A00100A80100B00100B80100C00100C80100D00100D80100E00100E80100F00100F80100800200880200900200980200A00200A80200B00200B80200C00200C80200D00200D80200E00200E80200F00200F80200800300880300900300980300A00300A80300B00300B80300C00300C80300D00300D80300E00300521A08092A160800100048006DCDB6CEF07553E29EE278FAF083C406621408A9F3D3870418EFAE0420662897F183C40660016A0808A9C2A30618B6098201060A0408001000";"false";"false";"false";"false";"false";"false";"1089796521";"false";"ACESSORIO";"1";"ENTRADA";"IST_DIGITAL_LOW";"ACESSORIO";"2";"ENTRADA";"IST_DIGITAL_LOW";"ACESSORIO";"3";"ENTRADA";"IST_DIGITAL_HIGH";"ACESSORIO";"4";"ENTRADA";"IST_WINDSHIELD_WIPERS";"ACESSORIO";"5";"ENTRADA";"IST_DIGITAL_HIGH";"ACESSORIO";"1";"SAIDA";"OS_HIGH";"ACESSORIO";"2";"SAIDA";"OS_LOW";"RASTREADOR";"1";"ENTRADA";"IST_DIGITAL_HIGH";"RASTREADOR";"1";"SAIDA";"OS_LOW";"CBR_NONE";"false";"0";"";"";"";"";"";"";""
"POSICAO";"1308972028";"MAXTRACK";"MXT-130";"true";"true";"4.108";"466515";"23/07/2025 11:58:02";"23/07/2025 11:58:02";"23/07/2025 11:58:03";"true";"11";"17";"-25.488825";"-49.290382";"0";"329.0";"958";"4511";"true";"0";"30";"0";"false";"22";"true";"true";"12.82";"true";"false";"false";"ENCONTRADO";"Rua Maria Trevisan Tortato";"245-355";"81020000";"Curitiba";"PR";"BR";"Urbano";"60";"4005";"true";"0";"629568.0";"0";"0";"false";"AST_NONE";"14910";"-1";"0";"255";"1241";"724";"5";"true";"1308972028";"000013164841";"1753282682000";"";"Casa";"false";"false";"55AA55AA00027A150100000008FCA795F004108BD897A3081A02600E22E70308D3BC1C104818FAF083C4062216080010011DCDB6CEF02553E29EE228BE07300D38C9022A171003180B28113013381A400048015001581E680288010032280801120208011A020802221C080110A9F3D387041801220A080220023801500F68012A04080118023A450A22080110946418052064288C203000380148E28D0250E0DC095884A6D7016809800103121708011000201630013A0B08D405100518D90920BE7448021A06080010001800428D020A23080010011800200028C0B6265000900100980100A00100A80100B00100B80100C8010012090800109F23180020001A0808001000180020002206080010001800320218004AA80128007AA30108001000180020002800300038004000480058006000680070007800800100880100900100980100A00100A80100B00100B80100C00100C80100D00100D80100E00100E80100F00100F80100800200880200900200980200A00200A80200B00200B80200C00200C80200D00200D80200E00200E80200F00200F80200800300880300900300980300A00300A80300B00300B80300C00300C80300D00300D80300E00300521A08092A160800100048006DCDB6CEF07553E29EE278DCF083C406621408A9F3D3870418D1AE04206628F9F083C40660016A0808A9C2A30618B5098201060A0408001000";"false";"false";"false";"false";"false";"false";"1089796521";"false";"ACESSORIO";"1";"ENTRADA";"IST_DIGITAL_LOW";"ACESSORIO";"2";"ENTRADA";"IST_DIGITAL_LOW";"ACESSORIO";"3";"ENTRADA";"IST_DIGITAL_HIGH";"ACESSORIO";"4";"ENTRADA";"IST_WINDSHIELD_WIPERS";"ACESSORIO";"5";"ENTRADA";"IST_DIGITAL_HIGH";"ACESSORIO";"1";"SAIDA";"OS_HIGH";"ACESSORIO";"2";"SAIDA";"OS_LOW";"RASTREADOR";"1";"ENTRADA";"IST_DIGITAL_HIGH";"RASTREADOR";"1";"SAIDA";"OS_LOW";"CBR_NONE";"false";"0";"";"";"";"";"";"";""
"POSICAO";"1308972028";"MAXTRACK";"MXT-130";"true";"true";"4.108";"466514";"23/07/2025 11:57:32";"23/07/2025 11:57:32";"23/07/2025 11:57:34";"true";"10";"8";"-25.488825";"-49.290382";"0";"329.0";"958";"4511";"true";"0";"31";"0";"false";"22";"true";"true";"12.76";"true";"false";"false";"ENCONTRADO";"Rua Maria Trevisan Tortato";"245-355";"81020000";"Curitiba";"PR";"BR";"Urbano";"60";"4005";"true";"0";"629538.0";"0";"0";"false";"AST_NONE";"14910";"-1";"0";"255";"1241";"724";"5";"true";"1308972028";"000013164841";"1753282652000";"";"Casa";"false";"false";"55AA55AA00024C4D0100000008FCA795F00410D68CBD83071A02600E22E70308D2BC1C104818DCF083C4062216080010011DCDB6CEF02553E29EE228BE07300738C9022A171003180A2808300E3811400048015001581F680288010032280801120208011A020802221C080110A9F3D387041801220A080220023801500F68012A04080118023A450A22080110D86318052064288C203000380148C38D0250C2DC095884A6D7016809800103121708011000201630013A0B08D405100518D90920BE7448021A06080010001800428D020A23080010011800200028A2B6265000900100980100A00100A80100B00100B80100C8010012090800109F23180020001A0808001000180020002206080010001800320218004AA80128007AA30108001000180020002800300038004000480058006000680070007800800100880100900100980100A00100A80100B00100B80100C00100C80100D00100D80100E00100E80100F00100F80100800200880200900200980200A00200A80200B00200B80200C00200C80200D00200D80200E00200E80200F00200F80200800300880300900300980300A00300A80300B00300B80300C00300C80300D00300D80300E00300521A08092A160800100048006DCDB6CEF07553E29EE278BEF083C406621408A9F3D3870418B4AE04206628DCF083C40660016A0808A9C2A30618B5098201060A0408001000";"false";"false";"false";"false";"false";"false";"1089796521";"false";"ACESSORIO";"1";"ENTRADA";"IST_DIGITAL_LOW";"ACESSORIO";"2";"ENTRADA";"IST_DIGITAL_LOW";"ACESSORIO";"3";"ENTRADA";"IST_DIGITAL_HIGH";"ACESSORIO";"4";"ENTRADA";"IST_WINDSHIELD_WIPERS";"ACESSORIO";"5";"ENTRADA";"IST_DIGITAL_HIGH";"ACESSORIO";"1";"SAIDA";"OS_HIGH";"ACESSORIO";"2";"SAIDA";"OS_LOW";"RASTREADOR";"1";"ENTRADA";"IST_DIGITAL_HIGH";"RASTREADOR";"1";"SAIDA";"OS_LOW";"CBR_NONE";"false";"0";"";"";"";"";"";"";""
"POSICAO";"1308972028";"MAXTRACK";"MXT-130";"true";"true";"4.108";"466513";"23/07/2025 11:57:02";"23/07/2025 11:57:02";"23/07/2025 11:57:04";"true";"8";"15";"-25.488825";"-49.290382";"0";"329.0";"958";"4511";"true";"0";"31";"0";"false";"23";"true";"true";"12.748";"true";"false";"false";"ENCONTRADO";"Rua Maria Trevisan Tortato";"245-355";"81020000";"Curitiba";"PR";"BR";"Urbano";"60";"4005";"true";"0";"629508.0";"0";"0";"false";"AST_NONE";"14910";"-1";"0";"255";"1241";"724";"5";"true";"1308972028";"000013164841";"1753282622000";"";"Casa";"false";"false";"55AA55AA0002AF900100000008FCA795F00410B792CE9C031A02600E22E70308D1BC1C104818BEF083C4062216080010011DCDB6CEF02553E29EE228BE07300C38C9022A1710031808280F30123818400048015001581F680288010032280801120208011A020802221C080110A9F3D387041801220A080220023801500F68012A04080118023A450A22080110CC6318052064288C203000380148CF8D0250A4DC095883A6D7016809800103121708011000201730013A0B08D405100518D90920BE7448021A06080010001800428D020A2308001001180020002884B6265000900100980100A00100A80100B00100B80100C8010012090800109F23180020001A0808001000180020002206080010001800320218004AA80128007AA30108001000180020002800300038004000480058006000680070007800800100880100900100980100A00100A80100B00100B80100C00100C80100D00100D80100E00100E80100F00100F80100800200880200900200980200A00200A80200B00200B80200C00200C80200D00200D80200E00200E80200F00200F80200800300880300900300980300A00300A80300B00300B80300C00300C80300D00300D80300E00300521A08092A160800100048006DCDB6CEF07553E29EE278A1F083C406621408A9F3D387041896AE04206628BDF083C40660016A0808A9C2A30618B4098201060A0408001000";"false";"false";"false";"false";"false";"false";"1089796521";"false";"ACESSORIO";"1";"ENTRADA";"IST_DIGITAL_LOW";"ACESSORIO";"2";"ENTRADA";"IST_DIGITAL_LOW";"ACESSORIO";"3";"ENTRADA";"IST_DIGITAL_HIGH";"ACESSORIO";"4";"ENTRADA";"IST_WINDSHIELD_WIPERS";"ACESSORIO";"5";"ENTRADA";"IST_DIGITAL_HIGH";"ACESSORIO";"1";"SAIDA";"OS_HIGH";"ACESSORIO";"2";"SAIDA";"OS_LOW";"RASTREADOR";"1";"ENTRADA";"IST_DIGITAL_HIGH";"RASTREADOR";"1";"SAIDA";"OS_LOW";"CBR_NONE";"false";"0";"";"";"";"";"";"";""
"POSICAO";"1308972028";"MAXTRACK";"MXT-130";"true";"true";"4.108";"466512";"23/07/2025 11:56:32";"23/07/2025 11:56:32";"23/07/2025 11:56:34";"true";"9";"10";"-25.488825";"-49.290382";"0";"329.0";"958";"4511";"true";"0";"33";"0";"false";"23";"true";"true";"12.72";"true";"false";"false";"ENCONTRADO";"Rua Maria Trevisan Tortato";"245-355";"81020000";"Curitiba";"PR";"BR";"Urbano";"60";"4005";"true";"0";"629479.0";"0";"0";"false";"AST_NONE";"14910";"-1";"0";"255";"1241";"724";"5";"true";"1308972028";"000013164841";"1753282592000";"";"Casa";"false";"false";"55AA55AA000232390100000008FCA795F00410CBC4E1DB0F1A02600E22E70308D0BC1C104818A0F083C4062216080010011DCDB6CEF02553E29EE228BE07300838C9022A1710031809280A300F38124000480150015821680288010032280801120208011A020802221C080110A9F3D387041801220A080220023801500F68012A04080118023A450A22080110B06318052064288C2030003801489091025086DC095883A6D7016809800103121708011000201730013A0B08D405100518D90920BE7448021A06080010001800428D020A23080010011800200028E7B5265000900100980100A00100A80100B00100B80100C8010012090800109F23180020001A0808001000180020002206080010001800320218004AA80128007AA30108001000180020002800300038004000480058006000680070007800800100880100900100980100A00100A80100B00100B80100C00100C80100D00100D80100E00100E80100F00100F80100800200880200900200980200A00200A80200B00200B80200C00200C80200D00200D80200E00200E80200F00200F80200800300880300900300980300A00300A80300B00300B80300C00300C80300D00300D80300E00300521A08092A160800100048006DCDB6CEF07553E29EE27883F083C406621408A9F3D3870418F8AD042066289FF083C40660016A0808A9C2A30618B4098201060A0408001000";"false";"false";"false";"false";"false";"false";"1089796521";"false";"ACESSORIO";"1";"ENTRADA";"IST_DIGITAL_LOW";"ACESSORIO";"2";"ENTRADA";"IST_DIGITAL_LOW";"ACESSORIO";"3";"ENTRADA";"IST_DIGITAL_HIGH";"ACESSORIO";"4";"ENTRADA";"IST_WINDSHIELD_WIPERS";"ACESSORIO";"5";"ENTRADA";"IST_DIGITAL_HIGH";"ACESSORIO";"1";"SAIDA";"OS_HIGH";"ACESSORIO";"2";"SAIDA";"OS_LOW";"RASTREADOR";"1";"ENTRADA";"IST_DIGITAL_HIGH";"RASTREADOR";"1";"SAIDA";"OS_LOW";"CBR_NONE";"false";"0";"";"";"";"";"";"";""
"POSICAO";"1308972028";"MAXTRACK";"MXT-130";"true";"true";"4.108";"466511";"23/07/2025 11:56:02";"23/07/2025 11:56:02";"23/07/2025 11:56:04";"true";"10";"9";"-25.488825";"-49.290382";"0";"329.0";"958";"4511";"true";"0";"31";"0";"false";"21";"true";"true";"12.69";"true";"false";"false";"ENCONTRADO";"Rua Maria Trevisan Tortato";"245-355";"81020000";"Curitiba";"PR";"BR";"Urbano";"60";"4005";"true";"0";"629449.0";"0";"0";"false";"AST_NONE";"14910";"-1";"0";"255";"1241";"724";"5";"true";"1308972028";"000013164841";"1753282562000";"";"Casa";"false";"false";"55AA55AA000210200100000008FCA795F00410DED9E490041A02600E22E70308CFBC1C10481882F083C4062216080010011DCDB6CEF02553E29EE228BE07300738C9022A171003180A2809300F3812400048015001581F680288010032280801120208011A020802221C080110A9F3D387041801220A080220023801500F68012A04080118023A450A22080110926318052064288C203000380148838D0250E8DB095882A6D7016809800103121708011000201530013A0B08D405100518D90920BE7448021A06080010001800428D020A23080010011800200028C9B5265000900100980100A00100A80100B00100B80100C8010012090800109F23180020001A0808001000180020002206080010001800320218004AA80128007AA30108001000180020002800300038004000480058006000680070007800800100880100900100980100A00100A80100B00100B80100C00100C80100D00100D80100E00100E80100F00100F80100800200880200900200980200A00200A80200B00200B80200C00200C80200D00200D80200E00200E80200F00200F80200800300880300900300980300A00300A80300B00300B80300C00300C80300D00300D80300E00300521A08092A160800100048006DCDB6CEF07553E29EE278E5EF83C406621408A9F3D3870418DBAD0420662882F083C40660016A0808A9C2A30618B3098201060A0408001000";"false";"false";"false";"false";"false";"false";"1089796521";"false";"ACESSORIO";"1";"ENTRADA";"IST_DIGITAL_LOW";"ACESSORIO";"2";"ENTRADA";"IST_DIGITAL_LOW";"ACESSORIO";"3";"ENTRADA";"IST_DIGITAL_HIGH";"ACESSORIO";"4";"ENTRADA";"IST_WINDSHIELD_WIPERS";"ACESSORIO";"5";"ENTRADA";"IST_DIGITAL_HIGH";"ACESSORIO";"1";"SAIDA";"OS_HIGH";"ACESSORIO";"2";"SAIDA";"OS_LOW";"RASTREADOR";"1";"ENTRADA";"IST_DIGITAL_HIGH";"RASTREADOR";"1";"SAIDA";"OS_LOW";"CBR_NONE";"false";"0";"";"";"";"";"";"";""
"POSICAO";"1308972028";"MAXTRACK";"MXT-130";"true";"true";"4.108";"466510";"23/07/2025 11:55:32";"23/07/2025 11:55:32";"23/07/2025 11:55:33";"true";"8";"10";"-25.488825";"-49.290382";"0";"329.0";"958";"4511";"true";"0";"30";"0";"false";"22";"true";"true";"12.751";"true";"false";"false";"ENCONTRADO";"Rua Maria Trevisan Tortato";"245-355";"81020000";"Curitiba";"PR";"BR";"Urbano";"60";"4005";"true";"0";"629419.0";"0";"0";"false";"AST_NONE";"14910";"-1";"0";"255";"1241";"724";"5";"true";"1308972028";"000013164841";"1753282532000";"";"Casa";"false";"false";"55AA55AA00020B980100000008FCA795F00410F7F2C0BE061A02600E22E70308CEBC1C104818E4EF83C4062216080010011DCDB6CEF02553E29EE228BE07300838C9022A1710031808280A30113814400048015001581E680288010032280801120208011A020802221C080110A9F3D387041801220A080220023801500F68012A04080118023A450A22080110CF6318052064288C203000380148808B0250CADB095882A6D7016809800103121708011000201630013A0B08D405100518D90920BE7448021A06080010001800428D020A23080010011800200028ABB5265000900100980100A00100A80100B00100B80100C8010012090800109F23180020001A0808001000180020002206080010001800320218004AA80128007AA30108001000180020002800300038004000480058006000680070007800800100880100900100980100A00100A80100B00100B80100C00100C80100D00100D80100E00100E80100F00100F80100800200880200900200980200A00200A80200B00200B80200C00200C80200D00200D80200E00200E80200F00200F80200800300880300900300980300A00300A80300B00300B80300C00300C80300D00300D80300E00300521A08092A160800100048006DCDB6CEF07553E29EE278C7EF83C406621408A9F3D3870418BDAD04206628E3EF83C40660016A0808A9C2A30618B3098201060A0408001000";"false";"false";"false";"false";"false";"false";"1089796521";"false";"ACESSORIO";"1";"ENTRADA";"IST_DIGITAL_LOW";"ACESSORIO";"2";"ENTRADA";"IST_DIGITAL_LOW";"ACESSORIO";"3";"ENTRADA";"IST_DIGITAL_HIGH";"ACESSORIO";"4";"ENTRADA";"IST_WINDSHIELD_WIPERS";"ACESSORIO";"5";"ENTRADA";"IST_DIGITAL_HIGH";"ACESSORIO";"1";"SAIDA";"OS_HIGH";"ACESSORIO";"2";"SAIDA";"OS_LOW";"RASTREADOR";"1";"ENTRADA";"IST_DIGITAL_HIGH";"RASTREADOR";"1";"SAIDA";"OS_LOW";"CBR_NONE";"false";"0";"";"";"";"";"";"";""
"POSICAO";"1308972028";"MAXTRACK";"MXT-130";"true";"true";"4.108";"466509";"23/07/2025 11:55:02";"23/07/2025 11:55:02";"23/07/2025 11:55:04";"true";"9";"11";"-25.488825";"-49.290382";"0";"329.0";"958";"4511";"true";"0";"30";"0";"false";"23";"true";"true";"12.734";"true";"false";"false";"ENCONTRADO";"Rua Maria Trevisan Tortato";"245-355";"81020000";"Curitiba";"PR";"BR";"Urbano";"60";"4005";"true";"0";"629389.0";"0";"0";"false";"AST_NONE";"14910";"-1";"0";"255";"1241";"724";"5";"true";"1308972028";"000013164841";"1753282502000";"";"Casa";"false";"false";"55AA55AA000223EA0100000008FCA795F00410CBF49BC3091A02600E22E70308CDBC1C104818C6EF83C4062216080010011DCDB6CEF02553E29EE228BE07300938C9022A1710031809280B30103814400048015001581E680288010032280801120208011A020802221C080110A9F3D387041801220A080220023801500F68012A04080118023A450A22080110BE6318052064288C203000380148FA8A0250ACDB095881A6D7016809800103121708011000201730013A0B08D405100518D90920BE7448021A06080010001800428D020A230800100118002000288DB5265000900100980100A00100A80100B00100B80100C8010012090800109F23180020001A0808001000180020002206080010001800320218004AA80128007AA30108001000180020002800300038004000480058006000680070007800800100880100900100980100A00100A80100B00100B80100C00100C80100D00100D80100E00100E80100F00100F80100800200880200900200980200A00200A80200B00200B80200C00200C80200D00200D80200E00200E80200F00200F80200800300880300900300980300A00300A80300B00300B80300C00300C80300D00300D80300E00300521A08092A160800100048006DCDB6CEF07553E29EE278A9EF83C406621408A9F3D38704189FAD04206628C5EF83C40660016A0808A9C2A30618B2098201060A0408001000";"false";"false";"false";"false";"false";"false";"1089796521";"false";"ACESSORIO";"1";"ENTRADA";"IST_DIGITAL_LOW";"ACESSORIO";"2";"ENTRADA";"IST_DIGITAL_LOW";"ACESSORIO";"3";"ENTRADA";"IST_DIGITAL_HIGH";"ACESSORIO";"4";"ENTRADA";"IST_WINDSHIELD_WIPERS";"ACESSORIO";"5";"ENTRADA";"IST_DIGITAL_HIGH";"ACESSORIO";"1";"SAIDA";"OS_HIGH";"ACESSORIO";"2";"SAIDA";"OS_LOW";"RASTREADOR";"1";"ENTRADA";"IST_DIGITAL_HIGH";"RASTREADOR";"1";"SAIDA";"OS_LOW";"CBR_NONE";"false";"0";"";"";"";"";"";"";""
"POSICAO";"1308972028";"MAXTRACK";"MXT-130";"true";"true";"4.108";"466508";"23/07/2025 11:54:32";"23/07/2025 11:54:33";"23/07/2025 11:54:34";"true";"9";"10";"-25.488825";"-49.290382";"0";"329.0";"958";"4511";"true";"0";"28";"0";"false";"23";"true";"true";"12.773";"true";"false";"false";"ENCONTRADO";"Rua Maria Trevisan Tortato";"245-355";"81020000";"Curitiba";"PR";"BR";"Urbano";"60";"4005";"true";"0";"629358.0";"0";"0";"false";"AST_NONE";"14910";"-1";"0";"255";"1241";"724";"5";"true";"1308972028";"000013164841";"1753282472000";"";"Casa";"false";"false";"55AA55AA00026D930100000008FCA795F0041089C7C2DA051A02600E22E70308CCBC1C104818A8EF83C4062216080010011DCDB6CEF02553E29EE228BE07300838C9022A1710031809280A300F3812400048015001581C680288010032280801120208011A020802221C080110A9F3D387041801220A080220023801500F68012A04080118023A450A22080110E56318052064288C203000380148808B02508EDB095881A6D7016809800103121708011000201730013A0B08D405100518D90920BE7448021A06080010001800428D020A23080010011800200028EEB4265000900100980100A00100A80100B00100B80100C8010012090800109F23180020001A0808001000180020002206080010001800320218004AA80128007AA30108001000180020002800300038004000480058006000680070007800800100880100900100980100A00100A80100B00100B80100C00100C80100D00100D80100E00100E80100F00100F80100800200880200900200980200A00200A80200B00200B80200C00200C80200D00200D80200E00200E80200F00200F80200800300880300900300980300A00300A80300B00300B80300C00300C80300D00300D80300E00300521A08092A160800100048006DCDB6CEF07553E29EE2788AEF83C406621408A9F3D387041881AD04206628A7EF83C40660016A0808A9C2A30618B2098201060A0408001000";"false";"false";"false";"false";"false";"false";"1089796521";"false";"ACESSORIO";"1";"ENTRADA";"IST_DIGITAL_LOW";"ACESSORIO";"2";"ENTRADA";"IST_DIGITAL_LOW";"ACESSORIO";"3";"ENTRADA";"IST_DIGITAL_HIGH";"ACESSORIO";"4";"ENTRADA";"IST_WINDSHIELD_WIPERS";"ACESSORIO";"5";"ENTRADA";"IST_DIGITAL_HIGH";"ACESSORIO";"1";"SAIDA";"OS_HIGH";"ACESSORIO";"2";"SAIDA";"OS_LOW";"RASTREADOR";"1";"ENTRADA";"IST_DIGITAL_HIGH";"RASTREADOR";"1";"SAIDA";"OS_LOW";"CBR_NONE";"false";"0";"";"";"";"";"";"";""
